,State,District,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88
3,1,0,State,JAMMU & KASHMIR,Total,260401,1493299,776257,717042,303118,158571,144547,601703,374225,227478,891596,402032,489564,533329,353254,180075,241087,196523,44564,97568,79480,18088,22120,19675,2445,4327,2610,1717,117072,94758,22314,292242,156731,135511,127944,60091,67853,65413,47731,17682,10061,2967,7094,88824,45942,42882,201829,112615,89214,87316,42480,44836,46412,35070,11342,6991,2341,4650,61110,32724,28386,90413,44116,46297,40628,17611,23017,19001,12661,6340,3070,626,2444,27714,13218,14496,959970,423003,536967,,,,,
72,2,0,State,HIMACHAL PRADESH,Total,80678,392126,196118,196008,47914,24823,23091,253475,142461,111014,138651,53657,84994,209957,116539,93418,112018,75622,36396,55871,31737,24134,3307,2075,1232,2190,1370,820,50650,40440,10210,97939,40917,57022,75138,27848,47290,6794,3553,3241,2574,958,1616,13433,8558,4875,61761,26151,35610,45360,16368,28992,5204,2802,2402,1612,662,950,9585,6319,3266,36178,14766,21412,29778,11480,18298,1590,751,839,962,296,666,3848,2239,1609,182169,79579,102590,,,,,
111,5,0,State,UTTARAKHAND,Total,51888,291903,148669,143234,34556,17912,16644,190137,109261,80876,101766,39408,62358,132478,80491,51987,90398,62791,27607,52127,35456,16671,12652,8611,4041,3026,1263,1763,22593,17461,5132,42080,17700,24380,20060,7105,12955,12548,6131,6417,2819,840,1979,6653,3624,3029,30743,13327,17416,14552,5044,9508,9017,4741,4276,2063,639,1424,5111,2903,2208,11337,4373,6964,5508,2061,3447,3531,1390,2141,756,201,555,1542,721,821,159425,68178,91247,,,,,
153,8,0,State,RAJASTHAN,Total,1787715,9238534,4742943,4495591,1699565,884826,814739,3980746,2608808,1371938,5257788,2134135,3123653,4461642,2394507,2067135,2639766,1747125,892641,1723475,1118877,604598,378010,192232,185778,13592,7857,5735,524689,428159,96530,1821876,647382,1174494,749015,272600,476415,704757,217835,486922,21203,7046,14157,346901,149901,197000,1397834,494542,903292,583734,200970,382764,556915,172615,384300,14375,4849,9526,242810,116108,126702,424042,152840,271202,165281,71630,93651,147842,45220,102622,6828,2197,4631,104091,33793,70298,4776892,2348436,2428456,,,,,
255,9,0,State,UTTAR PRADESH,Total,187688,1134273,581083,553190,206546,106251,100295,516553,318528,198025,617720,262555,355165,419652,270311,149341,212477,156321,56156,57036,44829,12207,84760,56712,28048,7415,4634,2781,63266,50146,13120,207175,113990,93185,22981,12163,10818,131327,69404,61923,9814,4889,4925,43053,27534,15519,160352,90583,69769,17763,9732,8031,102116,55483,46633,6951,3525,3426,33522,21843,11679,46823,23407,23416,5218,2431,2787,29211,13921,15290,2863,1364,1499,9531,5691,3840,714621,310772,403849,,,,,
471,10,0,State,BIHAR,Total,251749,1336573,682516,654057,249929,126919,123010,555088,340651,214437,781485,341865,439620,548000,337574,210426,293175,206219,86956,53602,41658,11944,190532,128831,61701,6440,3436,3004,42601,32294,10307,254825,131355,123470,26778,13250,13528,193735,99819,93916,9018,3038,5980,25294,15248,10046,204846,109587,95259,20564,10522,10042,158058,84615,73443,6429,2202,4227,19795,12248,7547,49979,21768,28211,6214,2728,3486,35677,15204,20473,2589,836,1753,5499,3000,2499,788573,344942,443631,,,,,
588,11,0,State,SIKKIM,Total,44299,206360,105261,101099,21910,11172,10738,147088,79981,67107,59272,25280,33992,102540,59984,42556,74277,47820,26457,32778,19880,12898,4593,2833,1760,775,509,266,36131,24598,11533,28263,12164,16099,14080,5341,8739,5199,2165,3034,780,294,486,8204,4364,3840,19616,8413,11203,9088,3354,5734,3579,1441,2138,479,181,298,6470,3437,3033,8647,3751,4896,4992,1987,3005,1620,724,896,301,113,188,1734,927,807,103820,45277,58543,,,,,
603,12,0,State,ARUNACHAL PRADESH,Total,176394,951821,468390,483431,150979,76366,74613,517173,280230,236943,434648,188160,246488,383475,200834,182641,306526,166606,139920,208974,104633,104341,6469,3234,3235,2579,1213,1366,88504,57526,30978,76949,34228,42721,44335,19295,25040,9594,3813,5781,2454,876,1578,20566,10244,10322,62362,27647,34715,35420,15451,19969,7768,2975,4793,1694,587,1107,17480,8634,8846,14587,6581,8006,8915,3844,5071,1826,838,988,760,289,471,3086,1610,1476,568346,267556,300790,,,,,
654,13,0,State,NAGALAND,Total,334967,1710973,866027,844946,254190,130918,123272,1165974,610914,555060,544999,255113,289886,842730,444670,398060,629794,349538,280256,407588,200493,207095,15954,8758,7196,7861,3507,4354,198391,136780,61611,212936,95132,117804,114043,49986,64057,36448,17384,19064,11935,4192,7743,50510,23570,26940,127052,53554,73498,63330,25356,37974,19757,9018,10739,7365,2326,5039,36600,16854,19746,85884,41578,44306,50713,24630,26083,16691,8366,8325,4570,1866,2704,13910,6716,7194,868243,421357,446886,,,,,
690,14,0,State,MANIPUR,Total,214636,1167422,588279,579143,154248,80318,73930,735410,392801,342609,432012,195478,236534,553798,291155,262643,419988,233472,186516,308130,163764,144366,13619,6604,7015,7344,3126,4218,90895,59978,30917,133810,57683,76127,63368,28181,35187,19133,6811,12322,8759,2222,6537,42550,20469,22081,104471,45041,59430,47279,20893,26386,14085,4874,9211,6502,1568,4934,36605,17706,18899,29339,12642,16697,16089,7288,8801,5048,1937,3111,2257,654,1603,5945,2763,3182,613624,297124,316500,,,,,
