,state_id,id,title,state_name,total,partial_vaccinated,totally_vaccinated,today
0,1,1,Andaman and Nicobar Islands,Andaman and Nicobar Islands,129402,114098,15304,879
1,2,2,Andhra Pradesh,Andhra Pradesh,11472950,8868827,2604123,235131
2,3,3,Arunachal Pradesh,Arunachal Pradesh,400431,321529,78902,4350
3,4,4,Assam,Assam,4578353,3689625,888728,86530
4,5,5,Bihar,Bihar,11582563,9695656,1886907,164441
5,6,6,Chandigarh,Chandigarh,389561,314047,75514,2230
6,7,7,Chhattisgarh,Chhattisgarh,6311013,5162659,1148354,5777
7,8,8,Dadra and Nagar Haveli,Dadra and Nagar Haveli,113099,101087,12012,2391
8,9,9,Delhi,Delhi,5915528,4521257,1394271,80776
9,10,10,Goa,Goa,608544,511363,97181,7600
10,11,11,Gujarat,Gujarat,19469285,15015883,4453402,263245
11,12,12,Haryana,Haryana,6553478,5509257,1044221,115277
12,13,13,Himachal Pradesh,Himachal Pradesh,2566312,2131032,435280,8279
13,14,14,Jammu and Kashmir,Jammu and Kashmir,3578448,3001103,577345,27212
14,15,15,Jharkhand,Jharkhand,4796252,4030797,765455,59607
15,16,16,Karnataka,Karnataka,16233686,13280204,2953482,234470
16,17,17,Kerala,Kerala,10975901,8765714,2210187,145542
17,18,18,Ladakh,Ladakh,185433,148072,37361,1910
18,19,19,Lakshadweep,Lakshadweep,43210,36172,7038,88
19,20,20,Madhya Pradesh,Madhya Pradesh,13757044,11865795,1891249,166613
20,21,21,Maharashtra,Maharashtra,25289087,20223546,5065541,238781
21,22,22,Manipur,Manipur,527443,456152,71291,4796
22,23,23,Meghalaya,Meghalaya,482503,407864,74639,2269
23,24,24,Mizoram,Mizoram,339630,287743,51887,4534
24,25,25,Nagaland,Nagaland,319910,267605,52305,7493
25,26,26,Odisha,Odisha,8801170,7221099,1580071,46739
26,27,27,Puducherry,Puducherry,311808,259366,52442,6059
27,28,28,Punjab,Punjab,5068351,4259303,809048,24850
28,29,29,Rajasthan,Rajasthan,18807294,15499286,3308008,307980
29,30,30,Sikkim,Sikkim,251567,191789,59778,7366
30,31,31,Tamil Nadu,Tamil Nadu,10268050,8152212,2115838,28761
31,32,32,Telangana,Telangana,7399241,6069528,1329713,170153
32,33,33,Tripura,Tripura,1649508,1140661,508847,2256
33,34,34,Uttar Pradesh,Uttar Pradesh,21991292,18264412,3726880,399577
34,35,35,Uttarakhand,Uttarakhand,3205856,2514436,691420,48878
35,36,36,West Bengal,West Bengal,17126112,13130590,3995522,183606
36,37,37,Daman and Diu,Daman and Diu,131994,117810,14184,2520
